name	address	deposit_time	deposit_asset0	deposit_asset1	deposit_amount0	deposit_amount1	deposit_value0	deposit_value1	deposit_value	reward_asset0	reward_asset1	reward_amount0	reward_amount1	reward_value0	reward_value1	reward_value	total_days	total_blocks	apr	type	deposit_link
swapx	0x9090bbf60a44a217ac7403f6945690f061456850	25/05/13 17:05:00	USDC.e	scBTC	13.7333	0.0000580072	13.7333	6.31983	20.0531	SWPx		0.499078		0.0663275		0.0663275	9.860	2482462	12.2400	Swap pool	https://swapx.fi/earn?search=USDC.e/scBTC
swapx	0x810687eb359c563c1af11af89c001f905a5989f0	25/05/14 18:05:00	WBTC	scBTC	0.0000849789	0.0000381582	9.25836	4.15729	13.4157	SWPx		0.0187340		0.00248975		0.00248975	8.812	2225016	0.770000	Swap pool	https://swapx.fi/earn?search=WBTC/scBTC
swapx	0x5c98734391c4b9132794b097f9162ff4fcecd598	25/05/14 18:05:00	wS	scBTC	7.76977	0.0000764700	3.84759	8.33133	12.1789	SWPx		0.320349		0.0425744		0.0425744	8.811	2224709	14.4800	Swap pool	https://swapx.fi/earn?search=wS/scBTC
Silo-LBTC · scBTC	0x0A94e18bdbCcD048198806d7FF28A1B1D2590724	25/05/16 05:05:00	scBTC		0.0000963300		10.4951		10.4951	scBTC		0.0000000100000		0.00108949		0.00108949	6.530	1650550	0.580000	Swap pool	https://app.silo.finance/markets/sonic/lbtc-scbtc-32
Silo-xSolvBTC · SolvBTC	0x87178fe8698C7eDa8aA207083C3d66aEa569aB98	25/05/16 05:05:00	SolvBTC		0.0000960112		10.7140		10.7140	SolvBTC		0.00000000665859		0.000743036		0.000743036	6.524	1648848	0.390000	Swap pool	https://app.silo.finance/markets/sonic/xsolvbtc-solvbtc-13
beefy-wbtc-usdc.e	0x920D88cA46041eFdB317c1a4150e8f0515e88D9B	25/05/13 21:05:00	cowShadowSonicWBTC-USDC		0.00000000000976472		10		10	cowShadowSonicWBTC-USDC		0.00000000000000960500		0.0099		0.0099	9.601	2421974	3.74000	vault	https://app.beefy.com/vault/shadow-cow-sonic-wbtc-usdc.e-vault
beefy-wbtc-scbtc	0x7152bf607BD043084f265c649a09A8F90BBdBF1B	25/05/14 21:05:00	IV-SWAPX-62-WBTC-scBTC		0.00000000000995599		11		11	IV-SWAPX-62-WBTC-scBTC		0.000000000000000805000		0.00088		0.00088	8.578	2175252	0.340000	vault	https://app.beefy.com/vault/swapx-ichi-wbtc-scbtc
scBTC/LBTC Weighted Pool	0x83952912178aa33c3853ee5d942c96254b235dcc	25/05/15 10:05:00	scBTC	LBTC	0.0000499100	0.00000875000	5.15728	0.902143	6.05942	beets		0.0637903		0.00356499		0.0036	8.048	2042645	2.67000	balancer-v2-pool	https://beets.fi/pools/sonic/v2/0x83952912178aa33c3853ee5d942c96254b235dcc0002000000000000000000ab
Avalon Bitcoin Treble	0xd5ab187442998f1a62ea58133a03050691a0c280	25/05/22 16:05:00	waSonicSOLVBTCBBN	waSonicSOLVBTC	0.0000855114	0.0000276091	9.43943	3.06845	12.5079	wasonicsolvbtcbbn	wasonicsolvbtc	0.0000000296532	0.00000000625671	0.00327336	0.000695365	0.0040	0.8062	212215	14.3700	balancer-v3-pool	https://beets.fi/pools/sonic/v3/0xd5ab187442998f1a62ea58133a03050691a0c280
vfat	0xc58490f4f0a9228f564d5129bc3e32c98e7e15a9	25/05/22 15:05:00	WBTC	scBTC	0.0000943500	0.0000936600	9.77815	9.70665	19.4848	xSHADOW		0.000275859		0.00770199		0.00770199	1.080	283977	13.3600	Swap pool	https://vfat.io/farm?chainId=146&farmAddress=0xc58490f4f0a9228f564d5129bc3e32c98e7e15a9&poolId=0
vfat	0x81a0a42d9bdf7ac9ef5003a2d0fdef42a01c8cc7	25/05/21 12:05:00	scBTC	LBTC	0.0000819600	0.0000991500	8.49409	10.8023	19.2964	xSHADOW		0.0309673		0.864608		0.864608	2.236	633441	731.420	Swap pool	https://vfat.io/farm?chainId=146&farmAddress=0x81a0a42d9bdf7ac9ef5003a2d0fdef42a01c8cc7&poolId=0
